tenant_id,customer_id,customer_name,gender,age,province,city,customer_segment,industry,institution_id,institution_name,branch_name,customer_manager_id,customer_manager_name,registration_date,annual_income,annual_revenue,credit_score,risk_level,is_active,has_credit,has_drawdown,current_loan_balance
*,CUST0017,模拟客户017,男,25,四川省,成都,存量经营户,批发零售,INST064,成都第03支行,成都分行,RM017,客户经理17,2024-04-12,149500,776000,599,高,1,1,0,0
*,CUST0018,模拟客户018,女,32,湖北省,武汉,年轻白领,商务服务,INST072,武汉第01支行,武汉分行,RM018,客户经理18,2024-04-18,153000,804000,616,高,0,1,1,135300
*,CUST0019,模拟客户019,男,39,河南省,郑州,代发客群,信息技术,INST089,郑州第08支行,郑州分行,RM019,客户经理19,2024-04-24,156500,832000,633,中,1,1,1,147500
*,CUST0020,模拟客户020,女,46,安徽省,合肥,新市民,制造业,INST097,合肥第06支行,合肥分行,RM020,客户经理20,2024-04-30,160000,860000,650,中,1,1,1,141000
*,CUST0021,模拟客户021,男,53,上海市,上海,小微商户,餐饮服务,INST005,上海第04支行,上海分行,RM021,客户经理21,2024-05-06,163500,888000,667,中,1,0,0,0
*,CUST0022,模拟客户022,女,60,江苏省,南京,存量经营户,批发零售,INST013,南京第02支行,南京分行,RM022,客户经理22,2024-05-12,167000,916000,684,中,1,1,1,176400
*,CUST0023,模拟客户023,男,28,江苏省,苏州,年轻白领,商务服务,INST030,苏州第09支行,苏州分行,RM023,客户经理23,2024-05-18,170500,944000,701,低,1,1,1,190000
*,CUST0024,模拟客户024,女,35,浙江省,杭州,代发客群,信息技术,INST038,杭州第07支行,杭州分行,RM024,客户经理24,2024-05-24,174000,972000,718,低,1,0,0,0
*,CUST0025,模拟客户025,男,42,广东省,深圳,新市民,制造业,INST046,深圳第05支行,深圳分行,RM025,客户经理25,2024-05-30,177500,1000000,735,低,1,1,1,146300
*,CUST0026,模拟客户026,女,49,广东省,广州,小微商户,餐饮服务,INST054,广州第03支行,广州分行,RM026,客户经理26,2024-06-05,181000,1028000,752,低,1,1,1,163800
*,CUST0027,模拟客户027,男,56,四川省,成都,存量经营户,批发零售,INST062,成都第01支行,成都分行,RM027,客户经理27,2024-06-11,184500,1056000,769,低,0,0,0,0
*,CUST0028,模拟客户028,女,24,湖北省,武汉,年轻白领,商务服务,INST079,武汉第08支行,武汉分行,RM028,客户经理28,2024-06-17,188000,1084000,786,低,1,1,0,0
*,CUST0029,模拟客户029,男,31,河南省,郑州,代发客群,信息技术,INST087,郑州第06支行,郑州分行,RM029,客户经理29,2024-06-23,191500,1112000,803,低,1,0,0,0
*,CUST0030,模拟客户030,女,38,安徽省,合肥,新市民,制造业,INST095,合肥第04支行,合肥分行,RM030,客户经理30,2024-06-29,195000,1140000,570,高,1,1,1,146200
*,CUST0031,模拟客户031,男,45,上海市,上海,小微商户,餐饮服务,INST003,上海第02支行,上海分行,RM001,客户经理01,2024-07-05,198500,1168000,587,高,1,1,1,161900
*,CUST0032,模拟客户032,女,52,江苏省,南京,存量经营户,批发零售,INST020,南京第09支行,南京分行,RM002,客户经理02,2024-07-11,202000,1196000,604,高,1,0,0,0
*,CUST0033,模拟客户033,男,59,江苏省,苏州,年轻白领,商务服务,INST028,苏州第07支行,苏州分行,RM003,客户经理03,2024-07-17,205500,1224000,621,中,1,1,1,281600
*,CUST0034,模拟客户034,女,27,浙江省,杭州,代发客群,信息技术,INST036,杭州第05支行,杭州分行,RM004,客户经理04,2024-07-23,209000,1252000,638,中,1,1,1,302400
*,CUST0035,模拟客户035,男,34,广东省,深圳,新市民,制造业,INST044,深圳第03支行,深圳分行,RM005,客户经理05,2024-07-29,212500,1280000,655,中,1,0,0,0
*,CUST0036,模拟客户036,女,41,广东省,广州,小微商户,餐饮服务,INST052,广州第01支行,广州分行,RM006,客户经理06,2024-08-04,216000,1308000,672,中,0,1,1,230000
*,CUST0037,模拟客户037,男,48,四川省,成都,存量经营户,批发零售,INST069,成都第08支行,成都分行,RM007,客户经理07,2024-08-10,219500,1336000,689,中,1,1,1,254000
*,CUST0038,模拟客户038,女,55,湖北省,武汉,年轻白领,商务服务,INST077,武汉第06支行,武汉分行,RM008,客户经理08,2024-08-16,223000,1364000,706,低,1,1,1,275600
*,CUST0039,模拟客户039,男,23,河南省,郑州,代发客群,信息技术,INST085,郑州第04支行,郑州分行,RM009,客户经理09,2024-08-22,226500,1392000,723,低,1,1,0,0
*,CUST0040,模拟客户040,女,30,安徽省,合肥,新市民,制造业,INST093,合肥第02支行,合肥分行,RM010,客户经理10,2024-08-28,230000,1420000,740,低,1,0,0,0
*,CUST0041,模拟客户041,男,37,上海市,上海,小微商户,餐饮服务,INST010,上海第09支行,上海分行,RM011,客户经理11,2024-09-03,233500,1448000,757,低,1,1,1,303600
*,CUST0042,模拟客户042,女,44,江苏省,南京,存量经营户,批发零售,INST018,南京第07支行,南京分行,RM012,客户经理12,2024-09-09,237000,1476000,774,低,1,1,0,0
*,CUST0043,模拟客户043,男,51,江苏省,苏州,年轻白领,商务服务,INST026,苏州第05支行,苏州分行,RM013,客户经理13,2024-09-15,240500,1504000,791,低,1,0,0,0
*,CUST0044,模拟客户044,女,58,浙江省,杭州,代发客群,信息技术,INST034,杭州第03支行,杭州分行,RM014,客户经理14,2024-09-21,244000,1532000,808,低,1,1,1,407000
*,CUST0045,模拟客户045,男,26,广东省,深圳,新市民,制造业,INST042,深圳第01支行,深圳分行,RM015,客户经理15,2024-09-27,247500,1560000,575,高,0,1,1,265900
*,CUST0046,模拟客户046,女,33,广东省,广州,小微商户,餐饮服务,INST059,广州第08支行,广州分行,RM016,客户经理16,2024-10-03,251000,1588000,592,高,1,1,0,0
*,CUST0047,模拟客户047,男,40,四川省,成都,存量经营户,批发零售,INST067,成都第06支行,成都分行,RM017,客户经理17,2024-10-09,254500,1616000,609,高,1,1,1,314700
*,CUST0048,模拟客户048,女,47,湖北省,武汉,年轻白领,商务服务,INST075,武汉第04支行,武汉分行,RM018,客户经理18,2024-10-15,258000,1644000,626,中,1,0,0,0
*,CUST0049,模拟客户049,男,54,河南省,郑州,代发客群,信息技术,INST083,郑州第02支行,郑州分行,RM019,客户经理19,2024-10-21,261500,1672000,643,中,1,1,0,0
*,CUST0050,模拟客户050,女,61,安徽省,合肥,新市民,制造业,INST100,合肥第09支行,合肥分行,RM020,客户经理20,2024-10-27,265000,1700000,660,中,1,1,1,252900
*,CUST0051,模拟客户051,男,29,上海市,上海,小微商户,餐饮服务,INST008,上海第07支行,上海分行,RM021,客户经理21,2024-11-02,268500,1728000,677,中,1,0,0,0
*,CUST0052,模拟客户052,女,36,江苏省,南京,存量经营户,批发零售,INST016,南京第05支行,南京分行,RM022,客户经理22,2024-11-08,272000,1756000,694,中,1,1,1,432000
*,CUST0053,模拟客户053,男,43,江苏省,苏州,年轻白领,商务服务,INST024,苏州第03支行,苏州分行,RM023,客户经理23,2024-11-14,275500,1784000,711,低,1,1,0,0
*,CUST0054,模拟客户054,女,50,浙江省,杭州,代发客群,信息技术,INST032,杭州第01支行,杭州分行,RM024,客户经理24,2024-11-20,279000,1812000,728,低,0,0,0,0
*,CUST0055,模拟客户055,男,57,广东省,深圳,新市民,制造业,INST049,深圳第08支行,深圳分行,RM025,客户经理25,2024-11-26,282500,1840000,745,低,1,1,1,236400
*,CUST0056,模拟客户056,女,25,广东省,广州,小微商户,餐饮服务,INST057,广州第06支行,广州分行,RM026,客户经理26,2024-12-02,286000,1868000,762,低,1,0,0,0
*,CUST0057,模拟客户057,男,32,四川省,成都,存量经营户,批发零售,INST065,成都第04支行,成都分行,RM027,客户经理27,2024-12-08,289500,1896000,779,低,1,1,1,411300
*,CUST0058,模拟客户058,女,39,湖北省,武汉,年轻白领,商务服务,INST073,武汉第02支行,武汉分行,RM028,客户经理28,2024-12-14,293000,1924000,796,低,1,1,1,441000
*,CUST0059,模拟客户059,男,46,河南省,郑州,代发客群,信息技术,INST090,郑州第09支行,郑州分行,RM029,客户经理29,2024-12-20,296500,1952000,563,高,1,0,0,0
*,CUST0060,模拟客户060,女,53,安徽省,合肥,新市民,制造业,INST098,合肥第07支行,合肥分行,RM030,客户经理30,2024-12-26,300000,1980000,580,高,1,1,0,0
*,CUST0061,模拟客户061,男,60,上海市,上海,小微商户,餐饮服务,INST006,上海第05支行,上海分行,RM001,客户经理01,2025-01-01,303500,2008000,597,高,1,1,1,355200
*,CUST0062,模拟客户062,女,28,江苏省,南京,存量经营户,批发零售,INST014,南京第03支行,南京分行,RM002,客户经理02,2025-01-07,307000,2036000,614,高,1,0,0,0
*,CUST0063,模拟客户063,男,35,江苏省,苏州,年轻白领,商务服务,INST022,苏州第01支行,苏州分行,RM003,客户经理03,2025-01-13,310500,2064000,631,中,0,1,0,0
*,CUST0064,模拟客户064,女,42,浙江省,杭州,代发客群,信息技术,INST039,杭州第08支行,杭州分行,RM004,客户经理04,2025-01-19,314000,2092000,648,中,1,1,1,627000
*,CUST0065,模拟客户065,男,49,广东省,深圳,新市民,制造业,INST047,深圳第06支行,深圳分行,RM005,客户经理05,2025-01-25,317500,2120000,665,中,1,1,1,405800
*,CUST0066,模拟客户066,女,56,广东省,广州,小微商户,餐饮服务,INST055,广州第04支行,广州分行,RM006,客户经理06,2025-01-31,321000,2148000,682,中,1,1,1,329300
*,CUST0067,模拟客户067,男,24,四川省,成都,存量经营户,批发零售,INST063,成都第02支行,成都分行,RM007,客户经理07,2025-02-06,324500,2176000,699,中,1,0,0,0
*,CUST0068,模拟客户068,女,31,湖北省,武汉,年轻白领,商务服务,INST080,武汉第09支行,武汉分行,RM008,客户经理08,2025-02-12,328000,2204000,716,低,1,1,1,551000
*,CUST0069,模拟客户069,男,38,河南省,郑州,代发客群,信息技术,INST088,郑州第07支行,郑州分行,RM009,客户经理09,2025-02-18,331500,2232000,733,低,1,1,1,588800
*,CUST0070,模拟客户070,女,45,安徽省,合肥,新市民,制造业,INST096,合肥第05支行,合肥分行,RM010,客户经理10,2025-02-24,335000,2260000,750,低,1,0,0,0
*,CUST0071,模拟客户071,男,52,上海市,上海,小微商户,餐饮服务,INST004,上海第03支行,上海分行,RM011,客户经理11,2025-03-02,338500,2288000,767,低,1,1,0,0
*,CUST0072,模拟客户072,女,59,江苏省,南京,存量经营户,批发零售,INST012,南京第01支行,南京分行,RM012,客户经理12,2025-03-08,342000,2316000,784,低,0,1,1,473000
*,CUST0073,模拟客户073,男,27,江苏省,苏州,年轻白领,商务服务,INST029,苏州第08支行,苏州分行,RM013,客户经理13,2025-03-14,345500,2344000,801,低,1,1,1,512500
*,CUST0074,模拟客户074,女,34,浙江省,杭州,代发客群,信息技术,INST037,杭州第06支行,杭州分行,RM014,客户经理14,2025-03-20,349000,2372000,568,高,1,1,0,0
*,CUST0075,模拟客户075,男,41,广东省,深圳,新市民,制造业,INST045,深圳第04支行,深圳分行,RM015,客户经理15,2025-03-26,352500,2400000,585,高,1,0,0,0
*,CUST0076,模拟客户076,女,48,广东省,广州,小微商户,餐饮服务,INST053,广州第02支行,广州分行,RM016,客户经理16,2025-04-01,356000,2428000,602,高,1,1,1,548000
*,CUST0077,模拟客户077,男,55,四川省,成都,存量经营户,批发零售,INST070,成都第09支行,成都分行,RM017,客户经理17,2025-04-07,359500,2456000,619,高,1,1,1,595300
*,CUST0078,模拟客户078,女,23,湖北省,武汉,年轻白领,商务服务,INST078,武汉第07支行,武汉分行,RM018,客户经理18,2025-04-13,363000,2484000,636,中,1,0,0,0
*,CUST0079,模拟客户079,男,30,河南省,郑州,代发客群,信息技术,INST086,郑州第05支行,郑州分行,RM019,客户经理19,2025-04-19,366500,2512000,653,中,1,1,1,497100
*,CUST0080,模拟客户080,女,37,安徽省,合肥,新市民,制造业,INST094,合肥第03支行,合肥分行,RM020,客户经理20,2025-04-25,370000,2540000,670,中,1,1,1,463000
*,CUST0081,模拟客户081,男,44,上海市,上海,小微商户,餐饮服务,INST002,上海第01支行,上海分行,RM021,客户经理21,2025-05-01,373500,2568000,687,中,0,0,0,0
*,CUST0082,模拟客户082,女,51,江苏省,南京,存量经营户,批发零售,INST019,南京第08支行,南京分行,RM022,客户经理22,2025-05-07,377000,2596000,704,低,1,1,1,550200
*,CUST0083,模拟客户083,男,58,江苏省,苏州,年轻白领,商务服务,INST027,苏州第06支行,苏州分行,RM023,客户经理23,2025-05-13,380500,2624000,721,低,1,1,1,579900
*,CUST0084,模拟客户084,女,26,浙江省,杭州,代发客群,信息技术,INST035,杭州第04支行,杭州分行,RM024,客户经理24,2025-05-19,384000,2652000,738,低,1,1,1,656000
*,CUST0085,模拟客户085,男,33,广东省,深圳,新市民,制造业,INST043,深圳第02支行,深圳分行,RM025,客户经理25,2025-05-25,387500,2680000,755,低,1,1,0,0
*,CUST0086,模拟客户086,女,40,广东省,广州,小微商户,餐饮服务,INST060,广州第09支行,广州分行,RM026,客户经理26,2025-05-31,391000,2708000,772,低,1,0,0,0
*,CUST0087,模拟客户087,男,47,四川省,成都,存量经营户,批发零售,INST068,成都第07支行,成都分行,RM027,客户经理27,2025-06-06,394500,2736000,789,低,1,1,1,501600
*,CUST0088,模拟客户088,女,54,湖北省,武汉,年轻白领,商务服务,INST076,武汉第05支行,武汉分行,RM028,客户经理28,2025-06-12,398000,2764000,806,低,1,1,0,0
*,CUST0089,模拟客户089,男,61,河南省,郑州,代发客群,信息技术,INST084,郑州第03支行,郑州分行,RM029,客户经理29,2025-06-18,401500,2792000,573,高,1,0,0,0
*,CUST0090,模拟客户090,女,29,安徽省,合肥,新市民,制造业,INST092,合肥第01支行,合肥分行,RM030,客户经理30,2025-06-24,405000,2820000,590,高,0,1,1,389000
*,CUST0091,模拟客户091,男,36,上海市,上海,小微商户,餐饮服务,INST009,上海第08支行,上海分行,RM001,客户经理01,2025-06-30,408500,2848000,607,高,1,1,1,424100
*,CUST0092,模拟客户092,女,43,江苏省,南京,存量经营户,批发零售,INST017,南京第06支行,南京分行,RM002,客户经理02,2025-07-06,412000,2876000,624,中,1,1,0,0
*,CUST0093,模拟客户093,男,50,江苏省,苏州,年轻白领,商务服务,INST025,苏州第04支行,苏州分行,RM003,客户经理03,2025-07-12,415500,2904000,641,中,1,1,1,711200
*,CUST0094,模拟客户094,女,57,浙江省,杭州,代发客群,信息技术,INST033,杭州第02支行,杭州分行,RM004,客户经理04,2025-07-18,419000,2932000,658,中,1,0,0,0
*,CUST0095,模拟客户095,男,25,广东省,深圳,新市民,制造业,INST050,深圳第09支行,深圳分行,RM005,客户经理05,2025-07-24,422500,2960000,675,中,1,1,0,0
*,CUST0096,模拟客户096,女,32,广东省,广州,小微商户,餐饮服务,INST058,广州第07支行,广州分行,RM006,客户经理06,2025-07-30,426000,2988000,692,中,1,1,1,555000
*,CUST0097,模拟客户097,男,39,四川省,成都,存量经营户,批发零售,INST066,成都第05支行,成都分行,RM007,客户经理07,2025-08-05,429500,3016000,709,低,1,0,0,0
*,CUST0098,模拟客户098,女,46,湖北省,武汉,年轻白领,商务服务,INST074,武汉第03支行,武汉分行,RM008,客户经理08,2025-08-11,433000,3044000,726,低,1,1,1,648500
*,CUST0099,模拟客户099,男,53,河南省,郑州,代发客群,信息技术,INST082,郑州第01支行,郑州分行,RM009,客户经理09,2025-08-17,436500,3072000,743,低,0,1,0,0
*,CUST0100,模拟客户100,女,60,安徽省,合肥,新市民,制造业,INST099,合肥第08支行,合肥分行,RM010,客户经理10,2025-08-23,440000,3100000,760,低,1,1,1,628000
