tenant_id,institution_id,institution_code,institution_name,institution_level,parent_institution_id,branch_name,province,city,institution_type,opening_date,employee_count,customer_manager_count,target_application_count,target_credit_amount,target_drawdown_amount,status
*,INST033,ORG0033,杭州第02支行,支行,INST031,杭州分行,浙江省,杭州,小微专营支行,2011-09-15,16,5,279,16250000,10940000,正常
*,INST034,ORG0034,杭州第03支行,支行,INST031,杭州分行,浙江省,杭州,综合支行,2011-10-26,18,6,282,16500000,11120000,正常
*,INST035,ORG0035,杭州第04支行,支行,INST031,杭州分行,浙江省,杭州,小微专营支行,2011-12-06,20,7,285,16750000,11300000,正常
*,INST036,ORG0036,杭州第05支行,支行,INST031,杭州分行,浙江省,杭州,综合支行,2012-01-16,22,3,288,17000000,11480000,正常
*,INST037,ORG0037,杭州第06支行,支行,INST031,杭州分行,浙江省,杭州,小微专营支行,2012-02-26,24,4,291,17250000,11660000,正常
*,INST038,ORG0038,杭州第07支行,支行,INST031,杭州分行,浙江省,杭州,综合支行,2012-04-07,26,5,294,17500000,11840000,正常
*,INST039,ORG0039,杭州第08支行,支行,INST031,杭州分行,浙江省,杭州,小微专营支行,2012-05-18,28,6,297,17750000,12020000,正常
*,INST040,ORG0040,杭州第09支行,支行,INST031,杭州分行,浙江省,杭州,综合支行,2012-06-28,30,7,300,18000000,12200000,正常
*,INST041,ORG0041,深圳分行,分行,,深圳分行,广东省,深圳,一级分行,2012-08-08,104,22,303,18250000,12380000,正常
*,INST042,ORG0042,深圳第01支行,支行,INST041,深圳分行,广东省,深圳,综合支行,2012-09-18,14,4,306,18500000,12560000,正常
*,INST043,ORG0043,深圳第02支行,支行,INST041,深圳分行,广东省,深圳,小微专营支行,2012-10-29,16,5,309,18750000,12740000,正常
*,INST044,ORG0044,深圳第03支行,支行,INST041,深圳分行,广东省,深圳,综合支行,2012-12-09,18,6,312,19000000,12920000,正常
*,INST045,ORG0045,深圳第04支行,支行,INST041,深圳分行,广东省,深圳,小微专营支行,2013-01-19,20,7,315,19250000,13100000,正常
*,INST046,ORG0046,深圳第05支行,支行,INST041,深圳分行,广东省,深圳,综合支行,2013-03-01,22,3,318,19500000,13280000,正常
*,INST047,ORG0047,深圳第06支行,支行,INST041,深圳分行,广东省,深圳,小微专营支行,2013-04-11,24,4,321,19750000,13460000,正常
*,INST048,ORG0048,深圳第07支行,支行,INST041,深圳分行,广东省,深圳,综合支行,2013-05-22,26,5,324,20000000,13640000,正常
*,INST049,ORG0049,深圳第08支行,支行,INST041,深圳分行,广东省,深圳,小微专营支行,2013-07-02,28,6,327,20250000,13820000,正常
*,INST050,ORG0050,深圳第09支行,支行,INST041,深圳分行,广东省,深圳,综合支行,2013-08-12,30,7,330,20500000,14000000,正常
*,INST051,ORG0051,广州分行,分行,,广州分行,广东省,广州,一级分行,2013-09-22,110,23,333,20750000,14180000,正常
*,INST052,ORG0052,广州第01支行,支行,INST051,广州分行,广东省,广州,综合支行,2013-11-02,14,4,336,21000000,14360000,正常
*,INST053,ORG0053,广州第02支行,支行,INST051,广州分行,广东省,广州,小微专营支行,2013-12-13,16,5,339,21250000,14540000,正常
*,INST054,ORG0054,广州第03支行,支行,INST051,广州分行,广东省,广州,综合支行,2014-01-23,18,6,342,21500000,14720000,正常
*,INST055,ORG0055,广州第04支行,支行,INST051,广州分行,广东省,广州,小微专营支行,2014-03-05,20,7,345,21750000,14900000,正常
*,INST056,ORG0056,广州第05支行,支行,INST051,广州分行,广东省,广州,综合支行,2014-04-15,22,3,348,22000000,15080000,正常
*,INST057,ORG0057,广州第06支行,支行,INST051,广州分行,广东省,广州,小微专营支行,2014-05-26,24,4,351,22250000,15260000,正常
*,INST058,ORG0058,广州第07支行,支行,INST051,广州分行,广东省,广州,综合支行,2014-07-06,26,5,354,22500000,15440000,正常
*,INST059,ORG0059,广州第08支行,支行,INST051,广州分行,广东省,广州,小微专营支行,2014-08-16,28,6,357,22750000,15620000,正常
*,INST060,ORG0060,广州第09支行,支行,INST051,广州分行,广东省,广州,综合支行,2014-09-26,30,7,360,23000000,15800000,正常
*,INST061,ORG0061,成都分行,分行,,成都分行,四川省,成都,一级分行,2014-11-06,116,24,363,23250000,15980000,正常
*,INST062,ORG0062,成都第01支行,支行,INST061,成都分行,四川省,成都,综合支行,2014-12-17,14,4,366,23500000,16160000,正常
*,INST063,ORG0063,成都第02支行,支行,INST061,成都分行,四川省,成都,小微专营支行,2015-01-27,16,5,369,23750000,16340000,正常
*,INST064,ORG0064,成都第03支行,支行,INST061,成都分行,四川省,成都,综合支行,2015-03-09,18,6,372,24000000,16520000,正常
*,INST065,ORG0065,成都第04支行,支行,INST061,成都分行,四川省,成都,小微专营支行,2015-04-19,20,7,375,24250000,16700000,正常
*,INST066,ORG0066,成都第05支行,支行,INST061,成都分行,四川省,成都,综合支行,2015-05-30,22,3,378,24500000,16880000,正常
*,INST067,ORG0067,成都第06支行,支行,INST061,成都分行,四川省,成都,小微专营支行,2015-07-10,24,4,381,24750000,17060000,正常
*,INST068,ORG0068,成都第07支行,支行,INST061,成都分行,四川省,成都,综合支行,2015-08-20,26,5,384,25000000,17240000,正常
*,INST069,ORG0069,成都第08支行,支行,INST061,成都分行,四川省,成都,小微专营支行,2015-09-30,28,6,387,25250000,17420000,正常
*,INST070,ORG0070,成都第09支行,支行,INST061,成都分行,四川省,成都,综合支行,2015-11-10,30,7,390,25500000,17600000,正常
*,INST071,ORG0071,武汉分行,分行,,武汉分行,湖北省,武汉,一级分行,2015-12-21,122,25,393,25750000,17780000,正常
*,INST072,ORG0072,武汉第01支行,支行,INST071,武汉分行,湖北省,武汉,综合支行,2016-01-31,14,4,396,26000000,17960000,正常
*,INST073,ORG0073,武汉第02支行,支行,INST071,武汉分行,湖北省,武汉,小微专营支行,2016-03-12,16,5,399,26250000,18140000,正常
*,INST074,ORG0074,武汉第03支行,支行,INST071,武汉分行,湖北省,武汉,综合支行,2016-04-22,18,6,402,26500000,18320000,正常
*,INST075,ORG0075,武汉第04支行,支行,INST071,武汉分行,湖北省,武汉,小微专营支行,2016-06-02,20,7,405,26750000,18500000,正常
*,INST076,ORG0076,武汉第05支行,支行,INST071,武汉分行,湖北省,武汉,综合支行,2016-07-13,22,3,408,27000000,18680000,正常
*,INST077,ORG0077,武汉第06支行,支行,INST071,武汉分行,湖北省,武汉,小微专营支行,2016-08-23,24,4,411,27250000,18860000,正常
*,INST078,ORG0078,武汉第07支行,支行,INST071,武汉分行,湖北省,武汉,综合支行,2016-10-03,26,5,414,27500000,19040000,正常
*,INST079,ORG0079,武汉第08支行,支行,INST071,武汉分行,湖北省,武汉,小微专营支行,2016-11-13,28,6,417,27750000,19220000,正常
*,INST080,ORG0080,武汉第09支行,支行,INST071,武汉分行,湖北省,武汉,综合支行,2016-12-24,30,7,420,28000000,19400000,正常
*,INST081,ORG0081,郑州分行,分行,,郑州分行,河南省,郑州,一级分行,2017-02-03,128,26,423,28250000,19580000,正常
*,INST082,ORG0082,郑州第01支行,支行,INST081,郑州分行,河南省,郑州,综合支行,2017-03-16,14,4,426,28500000,19760000,正常
*,INST083,ORG0083,郑州第02支行,支行,INST081,郑州分行,河南省,郑州,小微专营支行,2017-04-26,16,5,429,28750000,19940000,正常
*,INST084,ORG0084,郑州第03支行,支行,INST081,郑州分行,河南省,郑州,综合支行,2017-06-06,18,6,432,29000000,20120000,正常
*,INST085,ORG0085,郑州第04支行,支行,INST081,郑州分行,河南省,郑州,小微专营支行,2017-07-17,20,7,435,29250000,20300000,正常
*,INST086,ORG0086,郑州第05支行,支行,INST081,郑州分行,河南省,郑州,综合支行,2017-08-27,22,3,438,29500000,20480000,正常
*,INST087,ORG0087,郑州第06支行,支行,INST081,郑州分行,河南省,郑州,小微专营支行,2017-10-07,24,4,441,29750000,20660000,正常
*,INST088,ORG0088,郑州第07支行,支行,INST081,郑州分行,河南省,郑州,综合支行,2017-11-17,26,5,444,30000000,20840000,正常
*,INST089,ORG0089,郑州第08支行,支行,INST081,郑州分行,河南省,郑州,小微专营支行,2017-12-28,28,6,447,30250000,21020000,正常
*,INST090,ORG0090,郑州第09支行,支行,INST081,郑州分行,河南省,郑州,综合支行,2018-02-07,30,7,450,30500000,21200000,正常
*,INST091,ORG0091,合肥分行,分行,,合肥分行,安徽省,合肥,一级分行,2018-03-20,134,27,453,30750000,21380000,正常
*,INST092,ORG0092,合肥第01支行,支行,INST091,合肥分行,安徽省,合肥,综合支行,2018-04-30,14,4,456,31000000,21560000,正常
*,INST093,ORG0093,合肥第02支行,支行,INST091,合肥分行,安徽省,合肥,小微专营支行,2018-06-10,16,5,459,31250000,21740000,正常
*,INST094,ORG0094,合肥第03支行,支行,INST091,合肥分行,安徽省,合肥,综合支行,2018-07-21,18,6,462,31500000,21920000,正常
*,INST095,ORG0095,合肥第04支行,支行,INST091,合肥分行,安徽省,合肥,小微专营支行,2018-08-31,20,7,465,31750000,22100000,正常
*,INST096,ORG0096,合肥第05支行,支行,INST091,合肥分行,安徽省,合肥,综合支行,2018-10-11,22,3,468,32000000,22280000,正常
*,INST097,ORG0097,合肥第06支行,支行,INST091,合肥分行,安徽省,合肥,小微专营支行,2018-11-21,24,4,471,32250000,22460000,正常
*,INST098,ORG0098,合肥第07支行,支行,INST091,合肥分行,安徽省,合肥,综合支行,2019-01-01,26,5,474,32500000,22640000,正常
*,INST099,ORG0099,合肥第08支行,支行,INST091,合肥分行,安徽省,合肥,小微专营支行,2019-02-11,28,6,477,32750000,22820000,正常
*,INST100,ORG0100,合肥第09支行,支行,INST091,合肥分行,安徽省,合肥,综合支行,2019-03-24,30,7,480,33000000,23000000,正常
